Room#,Total,Date,Shift,Total Duties
CS301,33,1/4/2022,1,80
CS302,33,1/4/2022,1,
CS303,33,1/4/2022,1,
CS304,32,1/4/2022,1,
CS305,32,1/4/2022,1,
CS306,32,1/4/2022,1,
CYS-201,31,1/4/2022,1,
CS-301Lab,31,1/4/2022,1,
Room-pending,33,1/4/2022,1,
Room-pending,33,1/4/2022,1,
Roompending,35,1/4/2022,1,
CS-301,36,1/4/2022,3,
CS-302,36,1/4/2022,3,
CS-303,20,1/4/2022,3,
CS-304,22,1/4/2022,3,
CS-305,21,1/4/2022,3,
CS-306,20,1/4/2022,3,
CYS201,19,1/4/2022,3,
CS301,33,4/4/2022,1,
CS302,33,4/4/2022,1,
CS303,36,4/4/2022,1,
CS304,20,4/4/2022,1,
CS305,22,4/4/2022,1,
CS306,20,4/4/2022,1,
CYS-201,9,4/4/2022,1,
CS-301,36,4/4/2022,2,
CS-302,36,4/4/2022,2,
CS-303,31,4/4/2022,2,
CS-304,30,4/4/2022,2,
CS-305,32,4/4/2022,2,
CS-306,35,4/4/2022,2,
CYS201,28,4/4/2022,2,
CSLab-301,28,4/4/2022,2,
Room-pending,29,4/4/2022,2,
Room-pending,29,4/4/2022,2,
Room-pending,12,4/4/2022,2,
CS-301,36,4/4/2022,3,
CS-302,37,4/4/2022,3,
CS-303,23,4/4/2022,3,
CS-304,23,4/4/2022,3,
CS-305,19,4/4/2022,3,
CS-306,19,4/4/2022,3,
CS301,36,5/4/2022,1,
CS302,36,5/4/2022,1,
CS303,36,5/4/2022,1,
CS304,36,5/4/2022,1,
CS305,36,5/4/2022,1,
CS306,36,5/4/2022,1,
CYS-201,36,5/4/2022,1,
CS301Lab,36,5/4/2022,1,
Room-pending,36,5/4/2022,1,
Room-pending,36,5/4/2022,1,
Room-pending,25,5/4/2022,1,
CS-301,36,5/4/2022,3,
CS-302,36,5/4/2022,3,
CS-303,36,5/4/2022,3,
CS-304,22,5/4/2022,3,
CS-305,22,5/4/2022,3,
CS-306,22,5/4/2022,3,
CS301,22,6/4/2022,1,
CS302,22,6/4/2022,1,
CS303,21,6/4/2022,1,
CS304,20,6/4/2022,1,
CS305,22,6/4/2022,1,
CS306,22,6/4/2022,1,
CYS-201,23,6/4/2022,1,
CS301Lab,22,6/4/2022,1,
CS-301,35,6/4/2022,2,
CS-302,34,6/4/2022,2,
CS-303,33,6/4/2022,2,
CS-304,21,6/4/2022,2,
CS-305,15,6/4/2022,2,
CS-306,15,6/4/2022,2,
CYS201,17,6/4/2022,2,
CS-301,34,6/4/2022,3,
CS-302,34,6/4/2022,3,
CS-303,36,6/4/2022,3,
CS-304,22,6/4/2022,3,
CS-305,21,6/4/2022,3,
CS-306,20,6/4/2022,3,
